name,location,cuisines,rate,approx_cost_for_two,online_order,book_table
Farzi Cafe," UB City, Bangalore",Modern Indian,4.15,1600,1,0
Ambrosia," Rajarajeshwari Nagar, Bangalore","Italian, Mexican, Continental, Desserts, Beverages, Asian, Mediterranean, Juices",4.25,1200,1,0
Go Native," Jayanagar, Bangalore","Healthy Food, Modern Indian, Desserts, Mithai",4.2,800,1,0
BLR Brewing Co.," Electronic City, Bangalore","Finger Food, North Indian, Continental, Mughlai, Chinese, Desserts, Beverages",4.2,1500,1,0
Meghana Foods," Jayanagar, Bangalore","Andhra, North Indian, Seafood, Beverages",4.35,700,1,0
The Biere Club," Lavelle Road, Bangalore","Finger Food, Continental, Fast Food, North Indian, Italian, Beverages",4.4,1500,1,0
"Lush - Renaissance Hotel, Bengaluru"," Renaissance Hotel, Race Course Road, Bangalore","North Indian, Continental",3.9,2500,1,0
Harima," Residency Road, Bangalore","Japanese, Sushi",4.4,2000,1,0
Zoey's," Sarjapur Road, Bangalore","Cafe, Italian, Burger, Fast Food, Desserts, Continental",4.25,600,1,0
Delhi Highway," Indiranagar, Bangalore","Modern Indian, North Indian, Mughlai",4.050000000000001,1500,1,0
Rural Blues," Sarjapur Road, Bangalore","North Indian, Asian, Finger Food, Continental, Italian, Bar Food",4.15,1000,1,0
Kazé," Lavelle Road, Bangalore","Japanese, Sushi, Thai, Asian",4.4,3000,1,0
Sagar Hotel," Rajajinagar, Bangalore","North Indian, Chinese, Street Food",4.2,500,1,0
Murphy's Brewhouse - The Paul Bangalore," The Paul Bangalore, Domlur, Bangalore","Continental, Mexican, Italian, Beverages, North Indian, Desserts, Bar Food",4.4,1700,1,0
153 Biere Street," Whitefield, Bangalore","Asian, Continental, North Indian, Malaysian, Italian",4.15,1700,1,0
Oh! Calcutta," Church Street, Bangalore","Bengali, Seafood, North Indian",4.4,1800,1,0
Gilly's Restobar," New BEL Road, Bangalore","Continental, Italian, Chinese, Fast Food, North Indian",4.4,1450,1,0
Le Arabia," Basaveshwara Nagar, Bangalore","North Indian, Mughlai, Chinese, Arabian, Biryani, Beverages, Desserts",4.15,800,1,0
Royal Andhra Spice," OSR Hotel, Rajarajeshwari Nagar, Bangalore","Andhra, North Indian, Continental, Chinese, Beverages, Desserts",4.4,800,1,0
The Punjabi Rasoi," Whitefield, Bangalore","Mughlai, North Indian, Chinese, South Indian, Beverages",4.2,500,1,0
Mooch Marod," Whitefield, Bangalore","North Indian, Beverages",4.2,500,1,0
Dhwani," Koramangala 5th Block, Bangalore","Cafe, Continental, Asian, Italian, North Indian",4.4,800,1,0
Gramin," Koramangala 7th Block, Bangalore","North Indian, Healthy Food, Beverages",4.25,600,1,0
The Creek - The Den Bengaluru," The Den, Whitefield, Bangalore","North Indian, South Indian, Asian, Beverages, European",4.4,2400,1,0
Hotel Aditya," Rajajinagar, Bangalore","South Indian, Biryani",4.35,300,1,0
Feast - Sheraton Grand Bangalore Hotel at Brigade Gateway," Sheraton Grand Bangalore Hotel at Brigade Gateway, Bangalore","North Indian, Continental, Fast Food, Asian, Beverages",4.0,3000,1,0
The Higher Taste," Rajajinagar, Bangalore","South Indian, North Indian, Biryani, Fast Food, Chinese, Continental, Desserts",4.25,800,1,0
Rasovara," UB City, Bangalore","Rajasthani, North Indian",4.25,1400,1,0
Shanmukha," JP Nagar, Bangalore","Andhra, Chinese, North Indian, Seafood, Biryani",4.300000000000001,600,1,0
Chavadi," Bannerghatta Road, Bangalore","Continental, North Indian, Italian, Mughlai, Beverages",4.2,1200,1,0
Sharief Bhai," Koramangala 5th Block, Bangalore","Mughlai, Arabian, Afghan, Biryani, Kebab, Street Food, Beverages",4.2,600,1,0
One For The Road," Whitefield, Bangalore","North Indian, Fast Food",4.050000000000001,1300,1,0
You Mee," Forum Shantiniketan Mall, Whitefield, Bangalore","Japanese, Chinese, Thai, Beverages, Sushi, Momos",4.300000000000001,2000,1,0
Time Traveller - Sai Vishram," Bommasandra, Bangalore","Continental, North Indian, South Indian, Chinese",4.1,1100,1,0
Memories of China - Taj MG Road Bengaluru," Taj, MG Road, Bangalore","Seafood, Chinese",4.4,3000,1,0
Asha Tiffins," HSR, Bangalore","South Indian, North Indian, Chinese, Beverages, Desserts",4.300000000000001,200,1,0
Mudpipe Cafe," BTM, Bangalore","Cafe, Continental, Burger, Fast Food, Beverages",3.95,700,1,0
Cubbon Pavilion - ITC Gardenia," ITC Gardenia, Bangalore","European, Continental, Chinese, Thai",4.4,2500,1,0
The Blue Wagon - Kitchen," Jayanagar, Bangalore","Street Food, Fast Food, Beverages",4.6,400,1,0
La Casa Brewery And Kitchen," Sarjapur Road, Bangalore","Continental, North Indian, Fast Food, Thai, Finger Food",4.0,1500,1,0
Melange - Radisson Blu," Radisson Blu, Marathahalli, Bangalore","North Indian, Continental, Italian, Beverages",4.4,2600,1,0
Little Italy," Indiranagar, Bangalore","Italian, Pizza",4.1,1600,1,0
Portland Steakhouse & Cafe," MG Road, Bangalore","Continental, Fast Food, Cafe, Beverages",4.1,1800,1,0
Blue Ginger - The Taj West End," The Taj West End, Race Course Road, Bangalore","Vietnamese, Seafood, Beverages",4.4,3200,1,0
Poonam Sweets," Banashankari, Bangalore",Mithai,4.4,250,1,0
Float," D and N Enterprises, Marathahalli, Bangalore","North Indian, Japanese",4.2,1500,1,0
Royal Afghan - ITC Windsor," ITC Windsor, Bangalore","North Indian, Afghan",4.4,6000,1,0
Cafe Medley," Koramangala 5th Block, Bangalore","Cafe, Continental, Italian, Burger, Pizza, Street Food, Desserts, Beverages",4.0,800,1,0
Rara Avis," Sahakara Nagar, Bangalore","Kerala, Middle Eastern, North Indian, Chinese",4.300000000000001,1100,1,0
Kota Kachori," Koramangala 6th Block, Bangalore","North Indian, Street Food, Mithai",4.15,200,1,0
ASEAN - On The Edge," Barton Centre, Bangalore","Asian, Thai, Vietnamese",4.1,1800,1,0
Leon Grill," HSR, Bangalore","Burger, Fast Food, Wraps, Beverages, Desserts",4.35,600,1,0
Hotel Nalapaka," Rajajinagar, Bangalore",South Indian,4.15,400,1,0
Singapore Street," Kammanahalli, Bangalore","Singaporean, Thai, Sushi, Asian, Korean, Indonesian",4.300000000000001,1200,1,0
Kapoor's Cafe," Whitefield, Bangalore","North Indian, Beverages, Desserts",4.15,700,1,0
Raghavendra Tiffin," HSR, Bangalore",South Indian,4.25,150,1,0
Galito's," Whitefield, Bangalore","African, Burger, Fast Food, Beverages, Desserts",4.300000000000001,1000,1,0
Green Onion," Residency Road, Bangalore","Chinese, Seafood",4.35,600,1,0
Infinitea Tea Room & Tea Store," Cunningham Road, Bangalore","Italian, European, Healthy Food, Seafood, Desserts, Tea",4.25,1300,1,0
"3B's - Buddies, Bar & Barbecues"," Marathahalli, Bangalore","North Indian, BBQ",4.4,1200,1,0
Krazzy Folds," Jayanagar, Bangalore","Cafe, Continental, Italian, Beverages, Finger Food",4.25,800,1,0
Esplanade," Indiranagar, Bangalore","Bengali, Mughlai, Seafood",4.2,1000,1,0
OPUS Club," OPUS, Sarjapur Road, Bangalore","Continental, Italian, North Indian, Mexican",4.4,1900,1,0
Nakkshatra," Marathahalli, Bangalore","North Indian, Chinese, Fast Food",4.4,900,1,0
Shake It Off," Jayanagar, Bangalore","Beverages, Fast Food",4.4,400,1,0
Anand Sweets And Savouries," Koramangala 5th Block, Bangalore","Mithai, Street Food, Beverages",4.35,300,1,0
Punjab Bistro," Koramangala 7th Block, Bangalore","North Indian, Mughlai, Seafood",4.0,1900,1,0
Shizusan," Phoenix Marketcity Bangalore, Whitefield, Bangalore","Japanese, Chinese, Asian, Thai, Beverages",4.35,1800,1,0
Sigree Global Grill," Kalyan Nagar, Bangalore","North Indian, Biryani",4.0,1400,1,0
Gods Own Cafe," Koramangala 7th Block, Bangalore","South Indian, Kerala, Seafood",4.15,300,1,0
The Restaurant - Coorg," Indiranagar, Bangalore",South Indian,4.4,1600,1,0
IceBreakers," Koramangala 6th Block, Bangalore","Desserts, Ice Cream, Beverages",4.15,300,1,0
Thai Chy," Indiranagar, Bangalore","Asian, Thai, Indonesian, Chinese, Malaysian, Beverages",4.25,1300,1,0
Sea Rock," Seshadripuram, Bangalore","Mangalorean, Mughlai, South Indian, Chinese",4.45,1000,1,0
Kurtoskalacs," Koramangala 5th Block, Bangalore","Desserts, Beverages, Fast Food",4.25,500,1,0
Waffle Walle," Royal Meenakshi Mall, Bannerghatta Road, Bangalore","Desserts, Ice Cream, Beverages",4.2,500,1,0
XO Belgian Waffle," Koramangala 5th Block, Bangalore","Desserts, Beverages, Fast Food",4.15,400,1,0
Biryani Kitchen," Whitefield, Bangalore",Biryani,4.300000000000001,450,1,0
URU Brewpark," JP Nagar, Bangalore","Italian, North Indian, Continental, Chinese, Asian, Desserts, Beverages",4.199999999999999,1500,1,0
Nevermind - Bar & Social," Indiranagar, Bangalore","Asian, European, Modern Indian",4.1,1500,1,0
Bangalore Brew Works," Residency Road, Bangalore","Continental, Italian, South Indian, Salad, Fast Food",4.3,1700,1,0
High Ultra Lounge," Sheraton Grand Bangalore Hotel at Brigade Gateway, Bangalore","Japanese, Thai, Chinese, Korean",4.3,2600,1,0
Bob's Bar," Indiranagar, Bangalore","South Indian, Finger Food",4.25,1100,1,0
Raahi," St. Marks Road, Bangalore","North Indian, Biryani, Mughlai, Desserts, Beverages",4.1,2200,1,0
Fat Owl," JP Nagar, Bangalore","Finger Food, Fast Food, North Indian, Biryani, Desserts, Beverages",4.3,2300,1,0
The Fisherman's Wharf," Sarjapur Road, Bangalore","North Indian, Continental, Seafood, Goan, Asian",4.1,1400,1,0
Bombay Adda," Koramangala 7th Block, Bangalore","Continental, Fast Food, Desserts, Beverages",4.3,1500,1,0
Plan B," Indiranagar, Bangalore","American, Continental, Bar Food, Chinese, Fast Food, Pizza, Burger, Beverages",4.3,1300,1,0
Fire Station," Electronic City, Bangalore","Finger Food, North Indian, Continental, Italian, Chinese, Beverages, Desserts",4.0,1400,1,0
Indigo XP," Koramangala 5th Block, Bangalore","Finger Food, Continental, Chinese, Italian, North Indian, Beverages",4.3,1400,1,0
Green Theory," Residency Road, Bangalore","Cafe, Italian, Continental, Thai, Healthy Food",4.199999999999999,950,1,0
Gustoes Beer And Bouffage," Jayanagar, Bangalore","North Indian, Chinese, Continental, South Indian, Fast Food, Italian, BBQ, Beverages",4.3,2000,1,0
Lucky Chan - Dimsum & Sushi Parlour," Indiranagar, Bangalore","Japanese, Chinese",4.15,1600,1,0
Taiki," Indiranagar, Bangalore","Japanese, Korean, Asian, Sushi",4.199999999999999,1400,1,0
Stegi - Modern Indian," Jayanagar, Bangalore","North Indian, Italian, Fast Food, Desserts, Beverages",4.05,1200,1,0
Easy Tiger," Church Street, Bangalore","Finger Food, Continental",4.3,1000,1,0
Glen's Bakehouse," Lavelle Road, Bangalore","Bakery, Cafe, Pizza, Desserts, Beverages",4.25,800,1,0
Ebony," Barton Centre, Bangalore","North Indian, Mughlai, Hyderabadi, Asian, Thai",4.15,2300,1,0
The Only Place," Church Street, Bangalore","Italian, Steak, Continental, Desserts, Fast Food, Beverages",4.35,1200,1,0
Tea Villa Cafe," Jayanagar, Bangalore","Beverages, Continental, Chinese, Mexican, Fast Food, Desserts, Tea",4.25,700,1,0
Nandhana Palace," Sahakara Nagar, Bangalore","Biryani, Andhra, North Indian, Chinese, Beverages, Desserts",4.1,1000,1,0
Seven Ate Nine," HSR, Bangalore","Modern Indian, South Indian, Pizza, Burger, Rolls",4.199999999999999,700,1,0
Via Milano," Sarjapur Road, Bangalore","Italian, Pizza, Continental, Desserts, Beverages, Pasta",4.25,1500,1,0
Bonum Cibum," HSR, Bangalore","Lebanese, Burger, Continental, Beverages, Desserts",3.85,1000,1,0
Salvadores," MG Road, Bangalore","Continental, Desserts, Beverages",4.3,2000,1,0
Nuage," Indiranagar, Bangalore","Cafe, Italian, Desserts, Bakery, Salad, Burger, Beverages",4.1,800,1,0
"The Lantern Restaurant & Bar - The Ritz-Carlton, Bangalore"," The Ritz-Carlton, Bangalore","Chinese, Momos",4.3,3700,1,0
Cafe Noir," UB City, Bangalore","Continental, Italian, Desserts, Cafe, Beverages",4.1,1500,1,0
